config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
238,2,0.014678937576837314,0.9108913647604149,1.3119769,0.01227830832196453,0.06957708049113233,0.002728512960436562,0.045020463847203276,6.0
239,3,0.014203678910381053,1.0015637452746566,2.3288255,0.04229195088676671,0.12278308321964529,0.010914051841746248,0.09004092769440655,6.0
24,4,0.014109748948038178,0.9537617107571714,1.0023303,0.027285129604365622,0.13369713506139155,0.001364256480218281,0.08458390177353342,3.0
240,4,0.014108364461784309,0.9501252213904013,1.0055984,0.04229195088676671,0.12824010914051842,0.009549795361527967,0.08867667121418826,6.0
241,1,0.014116131241658602,0.9625583373981479,1.4781458,0.036834924965893585,0.11869031377899045,0.010914051841746248,0.08321964529331514,6.0
242,2,0.014414527219392998,0.9883081248104668,1.273909,0.03547066848567531,0.10504774897680765,0.005457025920873124,0.07639836289222374,6.0
243,3,0.014188162702186244,0.997891908176796,1.0788275,0.036834924965893585,0.12141882673942701,0.010914051841746248,0.08321964529331514,6.0
244,4,0.01412455943046314,0.9623036409641383,1.0933623,0.036834924965893585,0.12005457025920874,0.010914051841746248,0.08458390177353342,6.0
245,1,0.014115031333021487,0.9567743304419773,1.6270535,0.036834924965893585,0.12141882673942701,0.010914051841746248,0.08458390177353342,6.0
246,2,0.014284646382968147,0.968981261060371,1.5507691,0.01227830832196453,0.07776261937244201,0.002728512960436562,0.05184174624829468,6.0
247,3,0.014200963189608822,1.0149350783051543,1.003165,0.03819918144611187,0.12005457025920874,0.010914051841746248,0.08458390177353342,6.0
248,4,0.014120404249623362,0.9666645420048307,1.1229556,0.03956343792633015,0.12141882673942701,0.010914051841746248,0.08321964529331514,6.0
249,1,0.014169293382460653,0.9469956285363158,1.0015668,0.036834924965893585,0.11869031377899045,0.009549795361527967,0.08458390177353342,6.0
25,1,0.014134086081317986,0.9558792234938728,1.007504,0.02455661664392906,0.13096862210095497,0.002728512960436562,0.08458390177353342,3.0
250,2,0.014337596569074303,0.9913030308208275,1.0165179,0.036834924965893585,0.1077762619372442,0.005457025920873124,0.07503410641200546,6.0
251,3,0.014170098524994873,0.9911768724912232,1.3937439,0.036834924965893585,0.11869031377899045,0.010914051841746248,0.08458390177353342,6.0
252,4,0.014135054368188625,0.967739007119631,1.693421,0.036834924965893585,0.11869031377899045,0.009549795361527967,0.08458390177353342,6.0
253,1,0.014150679779372063,0.9487234001656757,1.3215882,0.03547066848567531,0.11869031377899045,0.009549795361527967,0.08321964529331514,6.0
254,2,0.014473871503906792,0.9933964461457562,1.524283,0.015006821282401092,0.07639836289222374,0.002728512960436562,0.0504774897680764,6.0
255,3,0.014202205578134123,1.0085789415386222,2.186211,0.03819918144611187,0.12141882673942701,0.010914051841746248,0.08594815825375171,6.0
256,4,0.014104471625442597,0.9676540956006421,1.5533786,0.040927694406548434,0.12687585266030013,0.010914051841746248,0.08731241473396999,6.0
257,1,0.01422171926204663,0.9233752662571698,1.0011525,0.03819918144611187,0.11732605729877217,0.009549795361527967,0.0791268758526603,6.0
258,2,0.01557988577568468,0.8356206864694249,1.0331619,0.01637107776261937,0.08458390177353342,0.004092769440654843,0.05184174624829468,6.0
259,3,0.014103363616850908,0.9206746387622835,1.2510071,0.04229195088676671,0.1296043656207367,0.010914051841746248,0.08867667121418826,6.0
26,2,0.01419327490556833,1.0114059663865282,2.6850698,0.01637107776261937,0.11323328785811733,0.002728512960436562,0.06957708049113233,3.0
260,4,0.014258427930666041,1.051692877022141,1.8199203,0.04229195088676671,0.12414733969986358,0.010914051841746248,0.08731241473396999,6.0
261,1,0.014154938240098532,0.9457177000756596,1.2574922,0.034106412005457026,0.1009549795361528,0.0068212824010914054,0.0723055934515689,6.0
262,2,0.014573881720953596,0.5193918196236007,2.9596052,0.009549795361527967,0.07094133697135062,0.002728512960436562,0.03956343792633015,6.0
263,3,0.014193927869514511,1.001382428035382,2.6373582,0.03819918144611187,0.12141882673942701,0.010914051841746248,0.08458390177353342,6.0
264,4,0.014129218853601667,0.9710220236310555,1.3113497,0.03956343792633015,0.12687585266030013,0.010914051841746248,0.08731241473396999,6.0
265,1,0.01414579229629779,0.9668738781617113,1.0642905,0.036834924965893585,0.11869031377899045,0.010914051841746248,0.08321964529331514,6.0
266,2,0.014416092503838587,0.9856639987848121,2.4567585,0.034106412005457026,0.1009549795361528,0.0068212824010914054,0.07366984993178717,6.0
267,3,0.014204888470602547,1.0100169321847863,1.125826,0.036834924965893585,0.11869031377899045,0.009549795361527967,0.08185538881309687,6.0
268,4,0.014115381142654216,0.9713735005978225,1.0028076,0.03819918144611187,0.12278308321964529,0.010914051841746248,0.08594815825375171,6.0
269,1,0.014159289247855143,0.961807012263469,1.0080163,0.03819918144611187,0.12005457025920874,0.010914051841746248,0.08458390177353342,6.0
